7,>WP_003399963.1 ,type VII secretion system ESX-1 WXG100 family target ESAT-6 ,Virulent Protein,Defense Protein,95,4.48,72.21,17990,-0.256,Hydrophilic,36.36,9903.87,4,9,1,Stable,,,secreted,Extracell,Cell inner membrane.,Extracellular,"Outer Membrane Protein
",1,Extracellular,,no signal peptide,Soluble Protein,0, -0.255790,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No signal peptide,No Secretory Protein ,Phosphorylation prediction,,"Uncharacterized conserved protein YukE [Function unknown];","cl42363	
",2.25E-19,coiled coil	,N/A,"None predicted

",N/A,N/A,N/A,0,N/A,N/A,0,No result,No,0,"EsxAB dimer-like ,ESAT-6 like        ","1.83e-21,0.00000613

",ESAT-6-like protein (1.10.287.1060/FF/9)	,2.20E-59, Proteins of 100 residues with WXG,4.10E-17,NO HIT,0,,	esxB,"Neighborhood
Cooccurence
Experiments
Textmining",0.999,,PROBABLE NON-ALLERGEN, Q9NX46,No Result,No Result,No Result,No Result,0,,Probable ANTIGEN,0.6186,,Metabolism Molecule,1.2232346,,type VII secretion system ESX-1 WXG100 family target ESAT-6 ,"WP_031657339.1
",1.00E-59,,Nucleotidyltransferases,Transferring Phosphorus-Containing Groups        ,Transferases,non Enzyme,NOT ENZYME ,NOT ENZYME 
8,>WP_003400047.1 ,PE domain-containing protein ,Virulent Protein,Defense Protein,77,4.00,82.86,6990,0.497,Hydrophobic,30.70,7424.28,1,7,1,Stable,,,secreted,Extracell,Cell inner membrane. Fimbrium.,CytoplasmicMembrane,Extracellular Protein,1,Extracellular,,Signal Peptide,Unknown,0,0.497402,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No signal peptide,No Secretory Protein ,Glycosylation prediction,,N/A,N/A,0,low complexity	,N/A,None pridicted,N/A,N/A,N/A,0,N/A,N/A,0,No result,No,0,PE/PPE dimer-like        PE,"0.000139
,0.07",N/A,0,PE family,1.3e-05,NO HIT,0,,PPE69,"Neighborhood
Textmining",0.905,,PROBABLE ALLERGEN,11991227,No Result,No Result,No Result,No Result,0,, Probable ANTIGEN,0.7185,,Metabolism Molecule,1.8373397,,PE domain-containing protein 	,"WP_003400047.1
",3.00E-44,,Nucleotidyltransferases,Transferring Phosphorus-Containing Groups        ,Transferases,non Enzyme,NOT ENZYME ,NOT ENZYME 
9,>WP_003400094.1 , ESAT-6 like protein EsxE,Virulent Protein,Defense Protein,90,5.36,77.33,17990,-0.021,Hydrophilic,17.45,9602.81,5,10,1,Stable,,,secreted,Extracell,"Cell inner membrane.
",Unknown,Cytoplasmic Protein,0,Cytoplasm,,no signal peptide,Soluble Protein,0,-0.021111,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No signal peptide,No Secretory Protein ,"Phosphorylation prediction,glycosylation prediction",,N/A,N/A,0,low complexity	,N/A,"
Type VII secretion system ESAT-6-like ",IPR010310,N/A,N/A,0,N/A,N/A,0,No result,No,0,"EsxAB dimer-like ,ESAT-6 like        ","2.88e-18,0.0051
",N/A,0, Proteins of 100 residues with WXG,7.50E-09,NO HIT,0,,cpnT,"Neighborhood
Cooccurence
Textmining",0.991,,PROBABLE NON-ALLERGEN,Q0IMG9,No Result,No Result,No Result,No Result,0,,Probable ANTIGEN,0.5115,,Metabolism Molecule,2.5827636,,pore-forming CpnT exporter EsxE 	,"WP_116381332.1
",1.00E-46,,Nucleotidyltransferases,Transferring Phosphorus-Containing Groups        ,Transferases,non Enzyme,NOT ENZYME ,NOT ENZYME 
10,>WP_003400201.1 , ribonuclease P protein component,Enzyme,Enzymatic protein,125,11.88,91.20,12490,-0.263,Hydrophilic,47.41,13942.21,24,9,0,Unstable,,,cytoplasm,"Cell membrane. Cytoplasm.
 ",Cell inner membrane,cytoplasmic,"Inner-membrane Protein
",1,Cytoplasm,,Signal Peptide,Unknown,1,-0.2632,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No signal peptide,No Secretory Protein ,Phosphorylation prediction,,"Ribonuclease P;
","cl42314	",8.50E-29,low complexity	,N/A,Ribonuclease P,IPR000100,"ribonuclease P activity,tRNA binding","GO:0004526,GO:0000049",1,tRNA processing,GO:0008033,1,No result,No,0,"Ribosomal protein S5 domain 2-like        ,RNase P protein	","1.06e-22,0.0014
",Ribonuclease P protein component (3.30.230.10/FF/124)	,1.30E-12,Ribonuclease P,2.80E-23,Bacterial ribonuclease P protein component signature,N/A,,rpmH,"Neighborhood
Coexpression
Textmining",0.999,,PROBABLE NON-ALLERGEN,Q2V992,No Result,No Result,No Result,No Result,0,,Probable ANTIGEN,0.5809,,Information and storage,0.42320196,,ribonuclease P,"EQM19434.1
",4.00E-53,,Endoribonucleases Producing 5'-Phosphomonoesters,Acting on Ester Bonds	,Hydrolases,3.1.26.5	1.0,"s an Enzyme protein
3.-.-.- Hydrolases
	3.1.-.- Acting on ester bonds
",ENZYME
11,>WP_003400206.1,50S ribosomal protein L34 ,Translational Protein,Catalytic/Enzymatic Protein,47,13.15,43.62,N/A,-1.421,Hydrophilic,94.38,5624.61,18,0,0,Unstable,,,cytoplasm,N/A,N/A,cytoplasmic,N/A,1,Cytoplasm,,no signal peptide,Soluble Protein,0,-1.421277,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No signal peptide,No Secretory Protein ,Phosphorylation prediction,,"Ribosomal protein L34;
","cl00370	
",6.21E-09,N/A,N/A,Ribosomal protein L34 ,IPR000271,structural constituent of ribosome ,GO:0003735,1,translation ,GO:0006412,1,ribosome ,GO:0005840,1,N/A,0,Mitochondrial ribosomal protein L34 (1.10.287.3980/FF/1)	,1.30E-12, Ribosomal protein L34,9.30E-18,Ribosomal protein L34 signature,N/A,,"rpsF	
rplI	
rpsL	
rpsG	
rpsJ	
rplC	
rplW	
rplB	
rpsS	
rplV","Coexpression
Experiments
Textmining",0.999,,PROBABLE NON-ALLERGEN,Q9UK58,No Result,No Result,No Result,No Result,0,, Probable ANTIGEN,0.8252,,cellular Process,0.99928715,,50S ribosomal protein L34 ,"WP_016719425.1",1.00E-18,,N/A,N/A,N/A,non Enzyme,N/A,NOT ENZYME 
12,>WP_003400395.1 , DUF4226 domain-containing protein ,Unknown Domain Function,Other Protein,120,5.60,97.00,1490,-0.217,Hydrophilic,33.98,13099.82,16,19,1,Stable,,,periplasm,Cytoplasm,"Extracell. Periplasm.
 ",Unknown,"Periplasmic Protein
",1,Periplasm,,no signal peptide,Soluble Protein,1,-0.216667,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No signal peptide,No Secretory Protein ,Phosphorylation prediction,,"EspA/EspE family; This family of proteins includes Mycobacterium tuberculosis EspA and EspE ...","cl11367	",8.19E-29,N/A,N/A,"
Protein of unknown function DUF4226 ",IPR019710,N/A,N/A,0,N/A,N/A,0,No result,No,0,N/A,0,N/A,0,Domain of unknown function (DUF4226),3.30E-42,NO HIT,N/A,,"        Rv0023        
     	Rv0024",Neighborhood,0.737,,PROBABLE NON-ALLERGEN,Q5BQN5,No Result,No Result,No Result,No Result,0,, Probable ANTIGEN,0.4958,,Metabolism Molecule,1.4413919,,hypothetical protein X157_03284 ,"KCP47523.1
",1.00E-74,,Nucleotidyltransferases,Transferring Phosphorus-Containing Groups        ,Transferases,3.1.-.-	0.72,NOT ENZYME ,NOT ENZYME 
13,>WP_003400401.1 ,ESX-1 secretion-associated protein ,Virulent Protein,Defense Protein,105,6.36,77.33,8480,-0.810,Hydrophilic,49.59,11910.15,12,14,0,Unstable,,,cytoplasm,Cell membrane. ,Cell inner membrane. Extracell. Periplasm.,Unknown,Cytoplasmic Protein,1,Cytoplasm,,no signal peptide,Soluble Protein,0,-0.809524,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No signal peptide,No Secretory Protein ,Phosphorylation prediction,,"Proteins of 100 residues with WXG; ESAT-6 is a small protein appears to be of fundamental ...","cl02005	
",8.07E-27,low complexity	,N/A,None pridicted,N/A,N/A,N/A,0,N/A,N/A,0,No result,No,0,"        Sigma3 and sigma4 domains of RNA polymerase sigma factors,Sigma4 domain        ","0.00562
,0.07",N/A,0," Excreted virulence factor EspC, type VII ESX diderm",7.50E-29,NO HIT,N/A,,"Rv0028	",Neighborhood,0.854,,PROBABLE NON-ALLERGEN,Q6EUD8,No Result,No Result,No Result,No Result,0,,Probable ANTIGEN ,0.5741,,cellular Process,0.99185651,,ESX-1 secretion-associated protein 	,"WP_102776488.1
",4.00E-59,,Nucleotidyltransferases,Transferring Phosphorus-Containing Groups        ,Transferases,non Enzyme,NOT ENZYME ,NOT ENZYME 
14,>WP_003400504.1 , DUF5318 domain-containing protein,Unknown Domain Function,Other Protein,137,9.88,84.01,16960,-0.144,Hydrophilic,37.06,15032.27,20,11,1,Stable,,,cytoplasm,"Cell membrane. Cytoplasm. Extracell.
","Cell inner membrane.",cytoplasmic,cytoplasmic protein,1,Cytoplasm,,no signal peptide,Soluble Protein,0,-0.143796,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No signal peptide,No Secretory Protein ,Glycosylation prediction,,"Family of unknown function (DUF5318); This family of unknown function is mostly found in ...","cl38539	
",3.73E-70,N/A,N/A,None pridicted,N/A,N/A,N/A,0,N/A,N/A,0,No result,No,0,N/A,0,N/A,0,Family of unknown function (DUF5318),3.10E-58,NO HIT,N/A,,	Rv1597,Textmining,0.759,,PROBABLE NON-ALLERGEN,Q9BSQ5,No Result,No Result,No Result,No Result,0,,Probable ANTIGEN,0.5561,,cellular Process,2.663027,,DUF5318 family protein [Mycobacterium tuberculosis]	,"WP_055351233.1
",7.00E-94,,Nucleotidyltransferases,Transferring Phosphorus-Containing Groups        ,Transferases,non Enzyme,NOT ENZYME ,NOT ENZYME 
15,>WP_003400534.1, single-stranded DNA-binding protein,Replication Protein,Structural Protein,164,5.12,62.56,19480,-0.488,Hydrophilic,43.05,17353.11,19,22,0,Unstable,,,cytoplasm,Cell membrane. Cytoplasm. Extracell.,cell inner membrane,cytoplasmic,cytoplasmic protein,1,Cytoplasm,,no signal peptide,Soluble Protein,0,-0.143796,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No signal peptide,No Secretory Protein ,Glycosylation prediction,,"single-stranded DNA-binding protein; Provisional
","PRK07772	",1.73E-104,N/A,N/A,None pridicted,N/A,N/A,N/A,0,N/A,N/A,0,No result,No,0,N/A,0,N/A,0,Family of unknown function (DUF5318),3.10E-58,NO HIT,N/A,,rpsF	,"Neighborhood
Gene Fusion
Coexpression",0.986,,PROBABLE NON-ALLERGEN,Q9P281,No Result,No Result,No Result,No Result,0,,Probable ANTIGEN ,0.7716,,cellular Process,1.1908155,,single-stranded DNA-binding protein 	,"WP_003400534.1
",4.00E-113,,Nucleotidyltransferases,Transferring Phosphorus-Containing Groups        ,Transferases,non Enzyme,NOT ENZYME ,NOT ENZYME 
16,>WP_003400577.1, antitoxin VapB1,Antitoxin Protein,Defense Protein,79,8.19,84.18,2980,-0.562,Hydrophilic,84.53,8717.84,13,12,0,Unstable,,,cytoplasm,Extracell,Extracell,cytoplasmic,Cytoplasmic protein,1,Cytoplasm,,no signal peptide,Soluble Protein,0,-0.562025,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No signal peptide,No Secretory Protein ,Phosphorylation prediction,,N/A,N/A,0,low complexity	,N/A,None pridicted,N/A,N/A,N/A,0,N/A,N/A,0,No result,No,0,"Ribbon-helix-helix	,Trafficking protein A-like	","0.000000000256,0.069",N/A,0,Tetratricopeptide repeat,0.081,NO HIT,N/A,,vapC1,"Neighborhood
Textmining",0.985,,PROBABLE ALLERGEN,225810599,No Result,No Result,No Result,No Result,0,,Probable ANTIGEN,0.6921,,cellular Process,1.0695073,,antitoxin VapB1 ,"WP_003400577.1
",1.00E-46,,Nucleotidyltransferases,Transferring Phosphorus-Containing Groups        ,Transferases,non Enzyme ,NOT ENZYME ,NOT ENZYME 
17,>WP_003400856.1,"L,D-transpeptidase",Enzyme,Enzymatic protein,251,8.85,91.51,43430,0.145,Hydrophobic,37.84,26915.66,18,16,1,Stable,`,,secreted,"Cytoplasm. Extracell.","Cell inner membrane. Extracell.",Unknown,Extracellular Protein,1,Extracellular,,Signal Peptide,Unknown,0,0.144622,No transmembrane,Secretion (Signal Peptide),Signal Peptide,Sgnal peptide,Signal peptide,Secretory peptide,Phosphorylation prediction,,"Lipoprotein-anchoring transpeptidase ErfK/SrfK [Cell wall/membrane/envelope biogenesis];
","COG1376	
",1.99E-31,low complexity	,N/A,None pridicted,N/A,N/A,N/A,0,N/A,N/A,0,No result,No,0,"L,D-transpeptidase catalytic domain-like        ,L,D-transpeptidase catalytic domain-like        ","1.1e-30
,0.0009",POSSIBLE CONSERVED EXPORTED PROTEIN (2.60.40.3710/FF/4)        ,1.50E-21,Bacterial Ig domain,2.50E-22,no HIT,N/A,,	dacB2,Textmining,0.786,,PROBABLE ALLERGEN, P14804,No Result,No Result,No Result,No Result,0,, Probable ANTIGEN,0.5312,,Virulence factors	,1.4339852,,"L,D-transpeptidase LdtMt1 ","WP_003400856.1
",2.00E-178,,Nucleotidyltransferases,Transferring Phosphorus-Containing Groups        ,Transferases,"2.3.2.-	0.78",NOT ENZYME ,NOT ENZYME 
18,>WP_003400908.1 ,esterase family protein,Enzyme,Enzymatic protein,340,5.92,68.97,85830,-0.253,Hydrophilic,49.34,36771.27,21,23,0,Unstable,,,secreted,Extracell,cell inner membrane,Extracellular,Extracellular Protein,1,Extracellular,,Signal Peptide,Unknown,2,-0.253235,No transmembrane,Secretion (Signal Peptide),Transmembrane	,Signal peptide,Signal peptide,Secretory peptide,Glycosylation prediction,,"S-formylglutathione hydrolase FrmB [Defense mechanisms];
","cl33985	
",3.43E-99,low complexity	,N/A,Esterase-like ,IPR000801,N/A,N/A,0,N/A,N/A,0,No result,No,0,"alpha/beta-Hydrolases	,Mycobacterial antigens	","0.0000000000454
,1.54e-38
",Diacylglycerol acyltransferase/mycolyltransferase Ag85C (3.40.50.1820/FF/86)	,1.40E-173, Putative esterase,1e-72),no HIT,N/A,,	aftB,"Cooccurence
Databases",0.959,,PROBABLE NON-ALLERGEN,Q9HCU4,No Result,No Result,No Result,No Result,0,,Probable ANTIGEN ,0.4801,,Metabolism Molecule,0.81644531,,diacylglycerol acyltransferase/mycolyltransferase Ag85C	,"WP_003400908.1",0,,"Transferring groups other than amino-acyl groups
",Acyltransferases,Transferases,3.1.-.-	0.75,NOT ENZYME ,NOT ENZYME 
19,>WP_003400961.1,TetR/AcrR family transcriptional regulator,Regulatory protein,Regulatory Protein,280,8.60,84.00,37930,-0.096,Hydrophilic,45.35,30643.00,29,27,0,Unstable,,,cytoplasm,cytoplasm,cytoplasm,cytoplasmic,"Periplasmic Protein
",1,Cytoplasm,,no signal peptide,Membrane Protein,1,-0.096429,Prediction,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No signal peptide,No Secretory Protein ,Phosphorylation prediction,,"DNA-binding transcriptional regulator, AcrR family [Transcription];
","COG1309	
",2.15E-15,transmembrane region	,N/A,None pridicted,N/A,N/A,N/A,0,N/A,N/A,0,No result,No,0,"Homeodomain-like        ,Tetracyclin repressor-like, N-terminal domain        ,Tetracyclin repressor-like, C-terminal domain        ,Tetracyclin repressor-like, C-terminal domain        ","1.15e-17
,0.0088,6.85e-16
,0.0072","Transcriptional regulator, TetR family (1.10.357.10/FF/47)        ",1.10E-131," Bacterial regulatory proteins, tetR family",1.00E-15,TetR-type HTH domain profile,19.821,,"Rv0802c	",Textmining,0.661,,PROBABLE NON-ALLERGEN,Q9NR09,No Result,No Result,No Result,No Result,0,,Probable ANTIGEN ,0.4082,,cellular Process        ,1.974479,,TetR/AcrR family transcriptional regulator ,"WP_003911117.1
",2.00E-150,,"Phosphotransferases with an alcohol group as acceptor",Transferring Phosphorus-Containing Groups        ,Transferases,non Enzyme,"is an Enzyme protein
	2.-.-.- Transferases
	2.8.-.- Transferring sulfur-containing groups
",ENZYME
20,>WP_003401006.1 ,"PE family protein, partial",Virulent protein,Defense Protein,74,4.41,94.19,4470,0.670,Hydrophobic,14.82,7094.98,2,6,1,Stable,,,Periplasm,Extracell,"Cell inner membrane. Fimbrium.
",CytoplasmicMembrane,Extracellular Protein,1,Extracellular,,Signal Peptide,Unknown,1,0.67027,No transmembrane,Secretion (Signal Peptide),Signal Peptide,signal peptide,Signal peptide,Secretory peptide,Glycosylation prediction,,"PE family; This family named after a PE motif near to the amino terminus of the domain. The PE ...
","cl03022	
",2.24E-10,low complexity	,N/A,None pridicted,N/A,N/A,N/A,0,N/A,N/A,0,No result,No,0,"PE/PPE dimer-like,PE	","1.05e-19
,0.01",PE_PGRS39 (1.10.287.850/FF/1)	,1.90E-22,PE family,1.10E-22,no HIT,0,,PPE58,textmining,0.822,,PROBABLE ALLERGEN,11991227,No Result,No Result,No Result,No Result,0,, Probable ANTIGEN,0.6027,,cellular Process        ,0.55407582,,PE family protein,"QON78099.1
",1.00E-39,,Nucleotidyltransferases,Transferring Phosphorus-Containing Groups        ,Transferases,5.-.-.-	0.55,NOT ENZYME ,NOT ENZYME 
