6,>WP_003399940.1 ,type VII secretion system ESX-1 WXG100 family target CFP-10,100,4.59,63.7,6990,-0.668,Hydrophilic,41.9,10793.8,9,14,0,Unstable,,,secreted,Extracell,Extracell,Extracellular,Outer Membrane Protein,1,Extracellular,,no signal peptide,Soluble Protein,0," -0.668000
",No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,Phosphorylation prediction,,"WXG100 family type VII secretion target; Members of this protein family include secretion ...
","TIGR03930	",2.16E-06,coiled coil	,N/A,"
Type VII secretion system ESAT-6-like",IPR010310,N/A,N/A,0,N/A,N/A,0,No result ,No,0,"EsxAB dimer-like        ,ESAT-6 like        ","5.49e-22
,0.00000227
",ESAT-6-like protein (1.10.287.1060/FF/8)	,2.20E-59,Proteins of 100 residues with WXG,3.30E-17,NO HIT,0,,"eccCb1, esxA","Neighborhood
Cooccurence
Experiments
Textmining",0.999,,PROBABLE NON-ALLERGEN,Q7XEH4,no result,no result,no result,no result,0,, Probable ANTIGEN,0.7216,,cellular Process	,0.75017002,,    type VII secretion system ESX-1 WXG100 family target CFP-10 [Mycobacterium tuberculosis complex],WP_003399940.1,3.00E-63,,Nucleotidyltransferases,        Transferring Phosphorus-Containing Groups,Transferases,non Enzyme,NOT Enzyme,NOT ENZYME
7,>WP_003399963.1,type VII secretion system ESX-1 WXG100 family target ESAT-6,95,4.48,72.21,17990,-0.256,Hydrophilic,36.36,9903.87,4,9,1,stable,,,secreted,Extracell,Cell inner membrane,Extracellular,"Outer Membrane Protein
",1,Extracellular,,no signal peptide,Soluble Protein,0, -0.255790,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,Phosphorylation prediction,,"Uncharacterized conserved protein YukE [Function unknown];","COG4842	",2.25E-19,coiled coil	,N/A,Type VII secretion system ESAT-6-like ,IPR010310,N/A,N/A,0,N/A,N/A,0,No result ,No,0,"EsxAB dimer-like        ,ESAT-6 like        ","1.83e-21
,0.00000613",ESAT-6-like protein (1.10.287.1060/FF/9)	,2.20E-59,Proteins of 100 residues with WXG,4.10E-17,NO HIT,0,,esxB,"Neighborhood
Cooccurence
Experiments
Textmining",0.999,,PROBABLE NON-ALLERGEN,Q9NX46,no result,no result,no result,no result,0,,Probable ANTIGEN,0.6186,,Metabolism Molecule,1.2232346,,  type VII secretion system ESX-1 WXG100 family target ESAT-6 [Mycobacterium tuberculosis complex],	WP_003399963.1,1.00E-59,,Nucleotidyltransferases,        Transferring Phosphorus-Containing Groups,Transferases,non Enzyme,NOT Enzyme,NOT ENZYME
8,>WP_003400047.1 ,PE domain-containing protein,77,4.00,82.86,6990,0.497,Hydrophobic,30.7,7424.28,1,7,1,stable,,,secreted,Extracell,Cell inner membrane. Fimbrium.,CytoplasmicMembrane,Extracellular Protein,1,Extracellular,,signal peptide,unknown,0,0.497402,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,Phosphorylation prediction,,N/A,N/A,0,low complexity	,N/A,None Predicted,0,N/A,N/A,0,N/A,N/A,0,No result ,No,0,"PE/PPE dimer-like	,PE	","0.000139
,0.07",N/A,0, PE family,1.30E-05,NO HIT,0,,PPE69,"Neighborhood
Textmining",0.905,,PROBABLE ALLERGEN,11991227,no result,no result,no result,no result,0,,Probable ANTIGEN,0.7185,,Metabolism Molecule,1.8373397,,PE domain-containing protein [Mycobacterium tuberculosis complex],WP_003400047.1,3.00E-44,,Nucleotidyltransferases,        Transferring Phosphorus-Containing Groups,Transferases,non Enzyme,NOT Enzyme,NOT ENZYME
9,>WP_003400094.1 , pore-forming CpnT exporter EsxE,90,5.36,77.33,17990,-0.021,Hydrophilic,17.45,9602.81,5,10,1,stable,,,secreted,Extracell,Cell inner membrane,Unknown,Cytoplasmic Protein,0,Cytoplasm,,no signal peptide,Soluble Protein,0,-0.021111,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,"Phosphorylation prediction,Glycosylation prediction",,N/A,N/A,0,low complexity	,N/A,"
Type VII secretion system ESAT-6-like",IPR010310,N/A,N/A,0,N/A,N/A,0,No result ,No,0,"EsxAB dimer-like,ESAT-6 like	","2.88e-18
,0.0051",N/A,0,Proteins of 100 residues with WXG,7.50E-09,NO HIT,0,,	cpnT,"Neighborhood
Cooccurence
Textmining",0.991,,PROBABLE NON-ALLERGEN,Q0IMG9,no result,no result,no result,no result,0,, Probable ANTIGEN,0.5115,,Metabolism Molecule,2.5827636,,   pore-forming CpnT exporter EsxE [Mycobacterium tuberculosis],WP_215728387.1,1.00E-55,,Nucleotidyltransferases,        Transferring Phosphorus-Containing Groups,Transferases,non Enzyme,NOT Enzyme,NOT ENZYME
10,>WP_003400201.1 ,ribonuclease P protein component,125,125,91.20,12490,-0.263,Hydrophilic,47.41,13942.21,24,9,0,Unstable,,,cytoplasm,Cell membrane. Cytoplasm,Cell inner membrane,Cytoplasmic,Inner-membrane Protein,1,Cytoplasm,,signal peptide,unknown,1, -0.263200,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,Phosphorylation prediction,,"Ribonuclease P;
","cl42314	
",8.50E-29,low complexity	,N/A,Ribonuclease P ,IPR000100,"tRNA binding 
ribonuclease P activity ","GO:0000049,GO:0004526",1,tRNA processing,GO:0008033,1,No result ,No,0,"Ribosomal protein S5 domain 2-like,RNase P protein	","1.06e-22
,0.0014",Ribonuclease P protein component (3.30.230.10/FF/124)	,1.30E-12,Ribonuclease P,2.80E-23,Bacterial ribonuclease P protein component signature,N/A,,	rpmH,"Neighborhood
Coexpression
Textmining",0.999,,PROBABLE NON-ALLERGEN,Q2V992,no result,no result,no result,no result,0,, Probable ANTIGEN,0.5809,,Information and storage,0.42320196,,ribonuclease P protein component RnpA [Mycobacterium tuberculosis M1441],	KAZ89458.1,2.00E-81,,Endoribonucleases Producing 5'-Phosphomonoesters,	Acting on Ester Bonds,Hydrolases,3.1.26.5	1.0,"Enzyme protein
	3.-.-.- Hydrolases
	3.1.-.- Acting on ester bonds
 ",ENZYME
11,>WP_003400206.1 ,50S ribosomal protein L34,47,13.15,43.62,N/A,-1.421,Hydrophilic,94.38,5624.61,18,0,0,Unstable,,,cytoplasm,N/A,N/A,Cytoplasmic,Periplasmic Protein,1,Cytoplasm,,no signal peptide,Soluble Protein,0,-1.421277,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,Phosphorylation prediction,,"Ribosomal protein L34 [Translation, ribosomal structure and biogenesis];","COG0230	
",6.21E-09,N/A,N/A,Ribosomal protein L34 ,IPR000271,structural constituent of ribosome,GO:0003735,1,translation ,GO:0006412,1,ribosome,GO:0005840,1,N/A,0,Mitochondrial ribosomal protein L34 (1.10.287.3980/FF/1)	,1.30E-12,Ribosomal protein L34,9.30E-18,Ribosomal protein L34 signature,N/A,,"rpsF        
rplI        
rpsL        
rpsG        
rpsJ        
rplC        
rplW        
rplB        
rpsS        
rplV","Coexpression
Experiments
Textmining",0.999,,PROBABLE NON-ALLERGEN,Q9UK58,no result,no result,no result,no result,0,, Probable ANTIGEN,0.8252,,cellular Process	,0.99928715,,50S ribosomal protein L34 [Mycobacterium tuberculosis]        ,	WP_116388178.1,2.00E-18,,No result,No result,No result,non Enzyme,No result,NOT ENZYME
12,>WP_003400395.1 ,DUF4226 domain-containing protein,120,5.60,97.00,1490,-0.217,Hydrophilic,33.98,13099.82,16,19,1,stable,,,periplasm,Cytoplasm.,Extracell. Periplasm.,Unknown,"Periplasmic Protein",0,Cytoplasm,,no signal peptide,Soluble Protein,1,-0.216667,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,Phosphorylation prediction,,"Domain of unknown function (DUF4226); This family of mycobacterial proteins are ...
","pfam10774	
",8.19E-29,N/A,N/A,Protein of unknown function DUF4226,IPR019710,N/A,N/A,0,N/A,N/A,0,No result ,No,0,N/A,0,N/A,0, Domain of unknown function (DUF4226),3.30E-42,NO HIT,0,,Rv0023 Rv0024,Neighborhood,0.737,,PROBABLE NON-ALLERGEN,Q5BQN5,no result,no result,no result,no result,0,, Probable ANTIGEN ,0.4958,,Metabolism Molecule,1.4413919,,hypothetical protein X157_03284 [Mycobacterium tuberculosis BTB09-453]	,"KCP47523.1
",1.00E-74,,"Nucleotidyltransferases
",        Transferring Phosphorus-Containing Groups,Transferases,3.1.-.-	0.72,NOT Enzyme,NOT ENZYME
13,>WP_003400401.1,ESX-1 secretion-associated protein,105,6.36,77.33,8480,-0.810,Hydrophilic,49.59,11910.15,12,14,1,stable,,,cytoplasm,Cell membrane. ,"Cell inner membrane. Extracell. Periplasm.
 ",Unknown,Cytoplasmic Protein,1,Cytoplasm,,no signal peptide,Soluble Protein,0,-0.809524,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,Phosphorylation prediction,,"Excreted virulence factor EspC, type VII ESX diderm; T7SS_ESX-EspC is a family of exported ...","pfam10824	
",8.07E-27,low complexity	,N/A,ESX-1 secretion-associated protein EspC,IPR022536,N/A,N/A,0,protein secretion,GO:0009306,1,No result ,No,0,"	Sigma3 and sigma4 domains of RNA polymerase sigma factors,Sigma4 domain	","0.00562,0.07",N/A,0," Excreted virulence factor EspC, type VII ESX diderm",7.50E-29,NO HIT,0,,Rv0028,Neighborhood,0.854,,PROBABLE NON-ALLERGEN,Q6EUD8,no result,no result,no result,no result,0,,Probable ANTIGEN,0.5741,,cellular Process,0.99185651,,ESX-1 secretion-associated protein [Mycobacterium tuberculosis]	,	WP_102776488.1,4.00E-59,,"Nucleotidyltransferases
",        Transferring Phosphorus-Containing Groups,Transferases,non Enzyme,NOT Enzyme,NOT ENZYME
14,>WP_003400504.1 ,DUF5318 family protein ,137,9.88,84.01,16960,-0.144,Hydrophilic,37.06,15032.27,20,11,1,stable,,,cytoplasm,Cell membrane. Cytoplasm. Extracell.,cell inner membrane,Cytoplasmic,Cytoplasmic Protein,1,Cytoplasm,,no signal peptide,Soluble Protein,0,-0.143796,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,Glycosylation prediction,,"Family of unknown function (DUF5318); This family of unknown function is mostly found in ...
","cl38539	
",3.73E-70,N/A,N/A,Protein of unknown function DUF5318,IPR035169,N/A,N/A,0,N/A,N/A,0,No result ,No,0,N/A,0,N/A,0.00E+00, Family of unknown function (DUF5318),3.10E-58,NO HIT,0,,Rv1597,Textmining,0.759,,PROBABLE NON-ALLERGEN,Q9BSQ5,no result,no result,no result,no result,0,,Probable ANTIGEN,0.5561,,cellular Process,2.663027,,DUF5318 family protein [Mycobacterium tuberculosis]	,	WP_055351233.1,7.00E-94,,"Nucleotidyltransferases
",        Transferring Phosphorus-Containing Groups,Transferases,non Enzyme,NOT Enzyme,NOT ENZYME
15,>WP_003400534.1 ,single-stranded DNA-binding protein,164,5.12,62.56,19480,-0.488,Hydrophilic,43.05,19480,19,22,0,Unstable,,,cytoplasm,Cell membrane. Cytoplasm.,cell inner membrane,Cytoplasmic,Cytoplasmic Protein,1,Cytoplasm,,no signal peptide,Soluble Protein,1,-0.487805,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,Phosphorylation prediction,,"single-stranded DNA-binding protein; Provisional","PRK07772	
",1.73E-104,low complexity	,N/A,Primosome PriB/single-strand DNA-bindingSingle-stranded DNA-binding protein ,"IPR000424,IPR011344",single-stranded DNA binding,GO:0003697,1,DNA replication,GO:0006260,1,No result ,No,0,"Nucleic acid-binding proteins ,Single strand DNA-binding domain, SSB	","2.27e-71,0.0000115
",Single-stranded DNA-binding protein (2.40.50.140/FF/899)	,1.00E-08,Single-strand binding protein family,1.50E-30,Single-strand binding (SSB) domain profile,27.627,,rpsF    ,"Neighborhood
Gene Fusion
Coexpression",0.986,,PROBABLE NON-ALLERGEN,Q9P281,no result,no result,no result,no result,0,,Probable ANTIGEN,0.7716,,cellular Process	,1.1908155,,single-stranded DNA-binding protein [Mycobacterium tuberculosis complex]	,"WP_003400534.1
",4.00E-113,,"Nucleotidyltransferases",        Transferring Phosphorus-Containing Groups,Transferases,non Enzyme,NOT Enzyme,NOT ENZYME
16,>WP_003400577.1 ,antitoxin VapB1 ,79,8.19,84.18,2980,-0.562,Hydrophilic,84.53,8717.84,13,12,0,Unstable,,,cytoplasm,Extracell,Extracell,Cytoplasmic,Cytoplasmic Protein,1,Cytoplasm,,no signal peptide,Soluble Protein,0,-0.562025,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,Phosphorylation prediction,,N/A,N/A,0,low complexity	,N/A,None Predicted,0,N/A,N/A,0,regulation of DNA-templated transcription ,GO:0006355,1,No result ,No,0,"Ribbon-helix-helix ,Trafficking protein A-like	","0.000000000256,0.069",N/A,0, Tetratricopeptide repeat,0.081,NO HIT,0,,	vapC1,Neighborhood Textmining,0.985,,PROBABLE ALLERGEN,225810599,no result,no result,no result,no result,0,, Probable ANTIGEN,0.6921,,cellular Process,1.0695073,,antitoxin VapB1 [Mycobacterium tuberculosis complex]	,WP_003400577.1,1.00E-46,,Nucleotidyltransferases,        Transferring Phosphorus-Containing Groups,Transferases,non Enzyme,NOT Enzyme,NOT ENZYME
17,>WP_003400657.1 ,lsr2/espR transcriptional regulator,114,8.12,120.7,2980,0.144,Hydrophobic,39.12,12356.32,16,15,1,stable,,,cytoplasm,Cytoplasm,cell inner member,Cytoplasmic,Cytoplasmic Protein,1,Cytoplasm,,no signal peptide,Soluble Protein,0,0.143860,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,Phosphorylation prediction,,"metalloregulator ArsR/SmtB family transcription factor; Transcriptional repressors that sense ...
","NF033788	
",1.97E-21,HTH_ARSR	,9.37E-27,None Predicted,0,DNA-binding transcription factor activity,GO:0003700,1,regulation of DNA-templated transcription ,GO:0006355,1,No result ,No,0,"""Winged helix"" DNA-binding domain,ArsR-like transcriptional regulators	","4.93e-20,0.005
",ArsR family transcriptional regulator (1.10.10.10/FF/496)	,1.30E-09, Helix-turn-helix domain,5.40E-09, ArsR-type HTH domain profile,15.694,,hycE,Neighborhood,0.94,,PROBABLE NON-ALLERGEN,P08823,no result,no result,no result,no result,0,,Probable ANTIGEN,0.4338,,cellular Process	,0.84611685,,metalloregulator ArsR/SmtB family transcription factor [Mycobacterium tuberculosis]	,"NLP98238.1
",3.00E-66,,Nucleotidyltransferases,        Transferring Phosphorus-Containing Groups,Transferases,3.-.-.-	0.54,NOT Enzyme,NOT ENZYME
18,>WP_003400856.1 ,"L,D-transpeptidase LdtMt1",251,8.85,91.51,43430,0.145,Hydrophobic,37.84,26915.66,18,16,1,stable,,,secreted,"Cytoplasm. Extracell.
","Cell inner membrane. Extracell.
",Unknown,Inner-membrane Protein,1,Extracellular,,signal peptide,unknown,0,0.144622,No transmembrane,Secretion (Signal Peptide), signal peptide,signal peptide,signal peptide, Secretory Protein ,Phosphorylation prediction,,"Lipoprotein-anchoring transpeptidase ErfK/SrfK [Cell wall/membrane/envelope biogenesis];","COG1376	",1.99E-31,low complexity	,N/A,None Predicted,0,transferase activity,GO:0016740,1,N/A,N/A,0,No result ,No,0,"L,D-transpeptidase catalytic domain-like,L,D-transpeptidase catalytic domain-like	","1.1e-30,0.0009
",Putative lipoprotein (2.60.40.3710/FF/2)	,1.80E-07,Bacterial Ig domain,2.50E-22,NO HIT,0,,	dacB2,Textmining,0.786,,PROBABLE ALLERGEN,P14804,no result,no result,no result,no result,0,, Probable ANTIGEN,0.5312,,Virulence factors,1.4339852,,"L,D-transpeptidase LdtMt1",WP_003400856.1,2.00E-178,,Nucleotidyltransferases,        Transferring Phosphorus-Containing Groups,Transferase,2.3.2.-	0.78,NOT Enzyme,NOT ENZYME
19,>WP_003400908.1 ,diacylglycerol acyltransferase/mycolyltransferase Ag85C,340,5.92,68.97,85830,-0.253,Hydrophilic,49.34,36771.27,21,23,0,Unstable,,,secreted,Extracell,cell inner membrane,Extracellular,Extracellular Protein,1,Extracellular,,signal peptide,unknown,2,-0.253235,No transmembrane,Secretion (Signal Peptide),signal peptide,signal peptide,signal peptide, Secretory Protein ,Glycosylation prediction,,"S-formylglutathione hydrolase FrmB [Defense mechanisms];
","COG0627	
",3.43E-99,low complexity	,N/A,Esterase-like,IPR000801,N/A,N/A,0,N/A,N/A,0,No result ,No,0,"alpha/beta-Hydrolases,Mycobacterial antigens	","1.54e-38,0.0000000000454
",Diacylglycerol acyltransferase/mycolyltransferase Ag85C (3.40.50.1820/FF/86)	,1.40E-173,Putative esterase,1.00E-72,NO HIT,0,,aftB,"Cooccurence
Databases
",0.959,,PROBABLE NON-ALLERGEN,Q9HCU4,no result,no result,no result,no result,0,,Probable ANTIGEN ,0.4801,,Metabolism Molecule,0.81644531,,diacylglycerol acyltransferase/mycolyltransferase Ag85C [Mycobacterium tuberculosis complex]	,"WP_003400908.1
",0,,Transferring groups other than amino-acyl groups,Acyltransferases,Transferases,3.1.-.-	0.75,NOT Enzyme,NOT ENZYME
